Text,Image
urn:cts:greekLit:tlg0012.tlg001.msA:21.138,"urn:cite:hmt:vaimg.VA272VN-0774@0.474,0.4474,0.378,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:21.139,"urn:cite:hmt:vaimg.VA272VN-0774@0.469,0.4677,0.425,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:21.140,"urn:cite:hmt:vaimg.VA272VN-0774@0.473,0.4895,0.425,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:21.141,"urn:cite:hmt:vaimg.VA272VN-0774@0.471,0.5068,0.399,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:21.142,"urn:cite:hmt:vaimg.VA272VN-0774@0.472,0.5285,0.432,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:21.143,"urn:cite:hmt:vaimg.VA272VN-0774@0.473,0.5465,0.432,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:21.144,"urn:cite:hmt:vaimg.VA272VN-0774@0.473,0.5653,0.425,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:21.145,"urn:cite:hmt:vaimg.VA272VN-0774@0.475,0.5826,0.411,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:21.146,"urn:cite:hmt:vaimg.VA272VN-0774@0.476,0.6036,0.397,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:21.147,"urn:cite:hmt:vaimg.VA272VN-0774@0.477,0.6216,0.425,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:21.148,"urn:cite:hmt:vaimg.VA272VN-0774@0.479,0.6366,0.4,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:21.149,"urn:cite:hmt:vaimg.VA272VN-0774@0.478,0.6562,0.435,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:21.150,"urn:cite:hmt:vaimg.VA272VN-0774@0.469,0.6734,0.431,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:21.151,"urn:cite:hmt:vaimg.VA273RN-0443@0.218,0.2005,0.398,0.03"
urn:cts:greekLit:tlg0012.tlg001.msA:21.152,"urn:cite:hmt:vaimg.VA273RN-0443@0.217,0.2215,0.423,0.03"
urn:cts:greekLit:tlg0012.tlg001.msA:21.153,"urn:cite:hmt:vaimg.VA273RN-0443@0.209,0.2432,0.389,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:21.154,"urn:cite:hmt:vaimg.VA273RN-0443@0.216,0.2613,0.398,0.03"
urn:cts:greekLit:tlg0012.tlg001.msA:21.155,"urn:cite:hmt:vaimg.VA273RN-0443@0.216,0.2785,0.421,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:21.156,"urn:cite:hmt:vaimg.VA273RN-0443@0.218,0.298,0.364,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:21.157,"urn:cite:hmt:vaimg.VA273RN-0443@0.212,0.3198,0.364,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:21.159,"urn:cite:hmt:vaimg.VA273RN-0443@0.209,0.3386,0.402,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:21.160,"urn:cite:hmt:vaimg.VA273RN-0443@0.204,0.3589,0.402,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:21.161,"urn:cite:hmt:vaimg.VA273RN-0443@0.201,0.3761,0.415,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:21.162,"urn:cite:hmt:vaimg.VA273RN-0443@0.205,0.3964,0.415,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:21.163,"urn:cite:hmt:vaimg.VA273RN-0443@0.204,0.4144,0.366,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:21.164,"urn:cite:hmt:vaimg.VA273RN-0443@0.205,0.4354,0.415,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:21.165,"urn:cite:hmt:vaimg.VA273RN-0443@0.199,0.4557,0.41,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:21.166,"urn:cite:hmt:vaimg.VA273RN-0443@0.202,0.4752,0.423,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:21.167,"urn:cite:hmt:vaimg.VA273RN-0443@0.2,0.4902,0.446,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:21.168,"urn:cite:hmt:vaimg.VA273RN-0443@0.2,0.515,0.408,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:21.169,"urn:cite:hmt:vaimg.VA273RN-0443@0.208,0.53,0.385,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:21.170,"urn:cite:hmt:vaimg.VA273RN-0443@0.21,0.5435,0.427,0.03"
urn:cts:greekLit:tlg0012.tlg001.msA:21.171,"urn:cite:hmt:vaimg.VA273RN-0443@0.205,0.5653,0.447,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:21.172,"urn:cite:hmt:vaimg.VA273RN-0443@0.207,0.5856,0.44,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:21.173,"urn:cite:hmt:vaimg.VA273RN-0443@0.201,0.6044,0.424,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:21.174,"urn:cite:hmt:vaimg.VA273RN-0443@0.203,0.6224,0.429,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:21.175,"urn:cite:hmt:vaimg.VA273RN-0443@0.202,0.6419,0.392,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:21.176,"urn:cite:hmt:vaimg.VA273RN-0443@0.198,0.6637,0.433,0.0315"
urn:cts:greekLit:tlg0012.tlg001.msA:21.177,""
urn:cts:greekLit:tlg0012.tlg001.msA:21.178,""
urn:cts:greekLit:tlg0012.tlg001.msA:21.179,""
urn:cts:greekLit:tlg0012.tlg001.msA:21.180,""
urn:cts:greekLit:tlg0012.tlg001.msA:21.181,""
urn:cts:greekLit:tlg0012.tlg001.msA:21.182,""
urn:cts:greekLit:tlg0012.tlg001.msA:21.183,""
urn:cts:greekLit:tlg0012.tlg001.msA:21.184,""
urn:cts:greekLit:tlg0012.tlg001.msA:21.185,""
urn:cts:greekLit:tlg0012.tlg001.msA:21.186,""
urn:cts:greekLit:tlg0012.tlg001.msA:21.187,""
urn:cts:greekLit:tlg0012.tlg001.msA:21.188,""
urn:cts:greekLit:tlg0012.tlg001.msA:21.189,""
urn:cts:greekLit:tlg0012.tlg001.msA:21.190,""
urn:cts:greekLit:tlg0012.tlg001.msA:21.191,""
urn:cts:greekLit:tlg0012.tlg001.msA:21.192,""
urn:cts:greekLit:tlg0012.tlg001.msA:21.193,""
urn:cts:greekLit:tlg0012.tlg001.msA:21.194,""
urn:cts:greekLit:tlg0012.tlg001.msA:21.195,""
urn:cts:greekLit:tlg0012.tlg001.msA:21.196,""
urn:cts:greekLit:tlg0012.tlg001.msA:21.197,""
urn:cts:greekLit:tlg0012.tlg001.msA:21.198,""
urn:cts:greekLit:tlg0012.tlg001.msA:21.199,""
urn:cts:greekLit:tlg0012.tlg001.msA:21.200,""
urn:cts:greekLit:tlg0012.tlg001.msA:21.201,""
urn:cts:greekLit:tlg0012.tlg001.msA:21.202,""
urn:cts:greekLit:tlg0012.tlg001.msA:21.203,""
urn:cts:greekLit:tlg0012.tlg001.msA:21.204,""
urn:cts:greekLit:tlg0012.tlg001.msA:21.205,""
urn:cts:greekLit:tlg0012.tlg001.msA:21.206,""
urn:cts:greekLit:tlg0012.tlg001.msA:21.207,""
urn:cts:greekLit:tlg0012.tlg001.msA:21.208,""
urn:cts:greekLit:tlg0012.tlg001.msA:21.209,""
urn:cts:greekLit:tlg0012.tlg001.msA:21.210,""
urn:cts:greekLit:tlg0012.tlg001.msA:21.211,""
urn:cts:greekLit:tlg0012.tlg001.msA:21.212,""
urn:cts:greekLit:tlg0012.tlg001.msA:21.213,""
urn:cts:greekLit:tlg0012.tlg001.msA:21.214,""
